nohup: ignoring input

   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2024-09-22 08:21:23 ................................................... ~ 1s
  2024-09-22 08:23:45 ................................................... ~ 0s
  2024-09-22 08:23:50 ................................................... ~ 1s
  2024-09-22 08:23:52 ................................................... ~ 0s
  2024-09-22 08:23:52 ................................................... ~ 0s
  2024-09-22 08:23:52 ................................................... ~ 1s
  2024-09-22 08:23:52 ................................................... ~ 1s
  2024-09-22 08:23:53 ................................................... ~ 0s
  2024-09-22 08:23:53 ................................................... ~ 0s
  2024-09-22 08:23:53 ................................................... ~ 0s
  2024-09-22 08:23:53 ................................................... ~ 1s
  2024-09-22 08:23:58 ................................................... ~ 0s
  2024-09-22 08:23:59 ................................................... ~ 0s
  2024-09-22 08:24:04 ................................................... ~ 0s
  2024-09-22 08:24:04 ................................................... ~ 0s
  2024-09-22 08:24:06 ................................................... ~ 1s
  2024-09-22 08:24:07 ................................................... ~ 0s
  2024-09-22 08:24:52 ................................................... ~ 0s
  2024-09-22 08:24:53 ................................................... ~ 0s
  2024-09-22 08:25:15 ................................................... ~ 0s
  2024-09-22 08:25:15 ................................................... ~ 1s
  2024-09-22 08:25:16 ................................................... ~ 0s
  2024-09-22 08:25:16 ................................................... ~ 0s
  2024-09-22 08:25:16 ................................................... ~ 0s
  2024-09-22 08:25:16 ................................................... ~ 1s
  2024-09-22 08:25:17 ................................................... ~ 0s
  2024-09-22 08:25:17 ................................................... ~ 0s
  2024-09-22 08:25:17 ................................................... ~ 1s
  2024-09-22 08:25:18 ................................................... ~ 0s
  2024-09-22 08:25:35 ................................................... ~ 0s
  2024-09-22 08:25:35 ................................................... ~ 0s
  2024-09-22 08:25:42 ................................................... ~ 1s
  2024-09-22 08:25:43 ................................................... ~ 0s
  2024-09-22 08:25:51 ................................................... ~ 0s
  2024-09-22 08:25:51 ................................................... ~ 0s
  2024-09-22 08:25:51 ................................................... ~ 1s
  2024-09-22 08:25:52 ................................................... ~ 0s
  2024-09-22 08:35:53 ................................................... ~ 0s
  2024-09-22 08:35:53 ................................................... ~ 1s
  2024-09-22 08:35:55 ................................................... ~ 0s
  2024-09-22 08:35:55 ................................................... ~ 1s
  2024-09-22 08:36:26 ................................................... ~ 0s
  2024-09-22 08:36:26 ................................................... ~ 1s
  2024-09-22 08:38:45 ................................................... ~ 0s
  2024-09-22 08:38:45 ................................................... ~ 0s
  2024-09-22 08:38:45 ................................................... ~ 1s
  2024-09-22 08:38:46 ................................................... ~ 0s
  2024-09-22 08:38:46 ................................................... ~ 1s
  2024-09-22 08:38:46 ................................................... ~ 1s
  2024-09-22 08:38:47 ................................................... ~ 0s
